Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Accounting & Tax Consultant,PT Fuji Staff Indonesia,Jakarta Selatan,8625000
HRGA JUNIOR,PT Anugerah Cahaya Chandra,Bogor,5250000
Operational Marketplace Supervisor (Supervisor Gudang E-commerce),ALPINIKA UNGGUL,Jakarta Barat,6871927
Marketing Communication Manager,CIPUTRA GROUP,Jakarta Raya,15035431
Site Manager - Real Estate,PT Gaia Dhara Pratama,Badung,12500000
PENGURUS KEBUN VILLA PRIBADI,Pengiklan Anonim,Bandung Barat,5679086
FINANCE AND ADMINISTRATION MANAGER,Pengiklan Anonim,Jakarta Timur,15137830
Team Leader - Engineering (Coil winding operations),PT Patco Elektronik Teknologi,Cikarang,7018360
Desk collection,PT SENTRAL INFORMA DIGITAL,Jakarta Pusat,3875000
PENGELOLA DAN PENGEMBANG BISNIS VILLA PRIBADI,Pengiklan Anonim,Bandung Barat,5488666
SENIOR BUYER FRESH FOOD,PT Mutiara Cahaya Tegal,Tegal,5500000
Financial Controller,Eurokars Group,Jakarta Selatan,12500000
Financial Controller,Eurokars Group,Jakarta Selatan,10922041
Tax Officer,PT Plaza Nusantara Realti,Jakarta Pusat,6151365
Branch Manager,PT Wedison Green Energy Group,Bali,12500000
Business Development - Hotel (BD Hotel),PT. Gbrooms Virtual Indonesia (98hospitality Management),Jakarta Utara,5000000
Sales Media Officer,PT Metra-Net,Jakarta Selatan,5462933
KEPALA BAGIAN FINANCE,PT. Singa Berlian Plastik,Jakarta Barat,11500000
Host Live Streaming,PT Buymore Indonesia Trading,Kebon Jeruk,5875000
Engineering Supervisor,Dwi Satrya Utama,Cikarang,7750000
HC Operational Section Head,CIPUTRA GROUP,Jakarta Raya,6566924
Content Creator (Photo & Video Editor),House of Panda,Jakarta Raya,4500000
SITE MANAGER PROYEK PERUMAHAN LANDED,PT Praja Sakti Propertindo,Karawang,10000000
Sales Admin & Junior Analyst,Pengiklan Anonim,Jakarta Barat,4395868
Advertising,PT. Purnama Land,Kabupaten Bandung,5750000
Sekretaris Direktur Operasional,PT. Pessindo Makmur Jaya,Pematangsiantar,4000000
Mechanical Engineer / Teknisi,PT Desjoyaux Indonesia,Jakarta Barat,6668407
GRAFIK DESIGN KOSMETIK INDUSTRI,PT Shangyang Technology Indonesia,Jakarta Utara,5500000
Officer Settlement,HuntHire,Jakarta Pusat,6035127
Live Streaming Supervisor,PT. Cahaya Ayu Abadi,Kecamatan Tangerang,7000000
Internal Audit,PT Sistima Aliran gas Nusantara,Jakarta Raya,7000000
Customer Success,Bookandlink (PT Surya Jagat Mandiri),Denpasar,5750000
ACCOUNTING & TAX STAFF,PT China Jinyuan Baishitai,Jakarta Utara,10000000
TikTok Video Shooter & Editor,MGE Content and Commerce Partner,Jakarta Selatan,6500000
Export Customer Service / export sales administration,KPPA ASIADESC,Surabaya,4850000
Product Group Manager,PT Wismilak Inti Makmur Tbk,Surabaya,8889191
Import Specialist,PT Fajar Gelora Inti,Jakarta Pusat,6370432
Secretary,PT Euroasiatic Jaya,Tangerang Selatan,5951482
Purchasing Admin,Daewoong Bio Indonesia,Bali,4050831
Head Of Supply Chain,PT Kencana Panelindo,Jakarta Barat,13500000
KEPALA BAGIAN (ASISTEN MANAJER) KEPATUHAN DAN RISIKO,PT PESONNA OPTIMA JASA,Jakarta Pusat,10000000
Personal Assistant CEO,Orderkuota,Mojokerto,5625000
HRGA Manager - Building Management & Construction,PT Dwida Cakrawala Indonesia,Jakarta Selatan,22500000
Marketing Development Officer,CIPUTRA GROUP,Jawa Barat,5416084
Recruitment Section Head,CIPUTRA GROUP,Jakarta Raya,5600000
Recruitment Section Head,CIPUTRA GROUP,Jakarta Raya,5933150
HRBP,PT Jomon Persada Nusantara,Jakarta Utara,5794195
BRANCH MANAGER MAKASSAR,PT Adhi Cakra Utama Mulia,Makassar,9124698
HR Generalist,PT Wook Global Technology,Jakarta Utara,6260020
QNB Indonesia Aspire Internship Program (IT Internship),PT Bank QNB Indonesia Tbk,Jakarta Pusat,2602527
HC Organization Development,CIPUTRA GROUP,Jakarta Raya,6749903
Secretary & Personal Assistant to Director - SURABAYA,Kitchenware Indonesia,Surabaya,5600000
Staff Marketing Branding (Yogyakarta),PT Wook Global Technology,Yogyakarta,3502856
Electrical Engineer,PT Industrial Robotic Automation,Karawang,6061398
RETAIL OPERATION SPECIALIST,Artha Inti Mentari,Tangerang,6750000
SITE MANAGER,KJB,Bali,11250000
Teknisi Kalibrasi,Prokalindo Global Presisi,Depok,5850000
PPIC Officer,PT. ENVITEC MULTI INDONESIA,Dumai,6035139
Retail Manager,PT Bali Ocean Magic (Waterbom Bali),Kuta,11930909
ACCOUNTING,PT Kamindo Makmur,Jakarta Raya,6875304
Staff Accounting,Pengiklan Anonim,Tangerang,8500000
Brand Manager,COMBIPHAR Group,Jakarta Selatan,10659441
Compliance Section Head,PT Taisho Pharmaceutical Indonesia Tbk.,Jakarta Selatan,6437281
Kepala Operasional Armada Ekspedisi,Tamansari Chicken Processing,Tasikmalaya,5000000
Audit IT,PT INDOLIFE PENSIONTAMA,Jakarta Selatan,6754658
Civil Inspector,CIPUTRA GROUP,Batam,5698961
FINANCE & ACCOUNTING STAFF,PT Hsing Loong Indonesia,Jakarta Raya,5477433
Asst Manager PPIC,PT ORI POLYTEC COMPOSITES,Jawa Barat,9926518
Leader Host live manager coordinator PIC tiktok shopee PIK2 free APART,PT. INDO KKHUB GROUP,Jakarta Utara,7500000
Manager Financial Reporting & Compliance,Pengiklan Anonim,Jakarta Barat,19000000
Manajemen Rumah Sakit,PT. Rajut Ananda Hidup Mandiri,Bekasi,6000000
HRD,CV Polygraf,Gedangan,5675007
MT Restaurant Supervisor - Kota Baru Parahyangan,Sari Rasa Group,Bandung,7223112
STAFF PURCHASING,PT. LUCID MULIA INDONESIA,Jakarta Pusat,4750000
Regional Sales Manager,PT Delta Sukses Teknologi,Jakarta Raya,10478442
PRESCHOOL TEACHER,Yay.Tunas Cendekia Bangsa,Jakarta Raya,5376247
Talent Acquisition,PT Sempoa Sip Indonesia,Tangerang,10000000
Talent Acquisition,PT Sempoa Sip Indonesia,Tangerang,8096608
IT Manager,PT Wedison Green Energy Group,Jakarta Selatan,11557908
Digital Marketing Section Head,CIPUTRA GROUP,Jakarta Raya,6238039
Accounting Staff,PT. Vallianz Offshore Maritim,Jakarta Selatan,5030560
Moulding Injection Supervisor ( SPV ),Pengiklan Anonim,Bekasi,10000000
Senior Officer General Services,HuntHire,Jakarta Pusat,7107765
Telesales Jakarta selatan,PT Rajawali Berdikari Indonesia,Jakarta Selatan,4250000
HR Shared Service Asst Manager,PT Bussan Auto Finance (BAF),Jakarta Selatan,13946838
KOL Specialist (Fashion),PT MISSSHINE TRENDS INDONESIA,Jakarta Barat,6000000
Onsite Construction Assistant,PT Gaia Dhara Pratama,Badung,6000000
Digital Marketing E-commerce Specialist,Citra Jaya Plastik,Jakarta Raya,5500000
Junior Marketing,Valerian Lotus,Jakarta Barat,5500000
Trade Marketing,PT Kecantikan Alami Indonesia,Jakarta Barat,5803231
COMMERCIAL EXECUTIVE,PT Vasco Ocean Lines,Jakarta Selatan,17500000
Network Engineer,PT. Aviro Global Teknologi,Jakarta Selatan,7625000
Head of IT (EDP),PT Solo Murni,Jawa Tengah,6720631
Business Development Officer,CIPUTRA GROUP,Jakarta Raya,7550910
Finance and Accounting assistant manager,PT Wah Lee Indonesia,Jakarta Barat,12500000
Operation Training Manager - (F&B),Pengiklan Anonim,Jakarta Raya,11821328
Assistant Manager Engineering,PT Fumakilla Indonesia,Tangerang,7472871
Accounting Supervisor,PT Enplas Indonesia,Cikarang,10500000
Admin Proyek (Estimator),CV Modern,Surabaya,3880953
Division Head of Asset/Plant Management,PT Kideco Jaya Agung (Kideco),Paser,9204664
Sales,PT SOUTHEAT LOGISTICS INDONESIA,Jakarta Raya,9000000
Underwriting,PT INDOLIFE PENSIONTAMA,Jakarta Raya,6038119
"General Manager, Renewable Energy",LYS ENERGY SOLUTIONS PTE. LTD.,Bekasi,22864773
Housekeeper (Staff HK),PT VILLA COCO BALI,Seminyak,3650000
Estate Management Section Head,CIPUTRA GROUP,Jakarta Raya,6663063
QHSE Supervisor (Shipyard),PT TRI SUKSES WANATAMA,Tangerang,7100209
Pengawas / Pelaksana,PT Rudei International,Jakarta Raya,4500000
LEGAL REGULATORY AFFAIR,PT. iCT Worldwide Indonesia,Jakarta Selatan,7000000
Business Development,PT Digivla Indonesia,Jakarta Selatan,9253526
Supervisor Restoran,INTI BOGA SUKSES BERJAYA,Jakarta Raya,1850000
Supervisor Restoran,INTI BOGA SUKSES BERJAYA,Jakarta Raya,2936915
Helper / ASISTEN RUMAH TANGGA,PT. HANSA AGRO LESTARI,Kabupaten Bogor,1850000
Textile Machinery Engineering,PT Murata Machinery Indonesia,Bandung,5133906
Personal Assistant,PT Federal Mardhika Citramandiri,Gunung Putri,8500000
Branch Manager Medan,PT. Dwidaya World Wide,Medan,10407826
Social Media Manager,PT Wedison Green Energy Group,Jakarta Raya,6969899
Sales Manager,PT Santiniluwansa Lestari,Cileungsi,9500000
KOL & Affiliate Marketing,Learning Time Limited,Jakarta Selatan,6000000
TECHNICAL SUPPORT CHILLER,PT Airkon Pratama,Jakarta Selatan,6500000
Sales Representative - Malang,PT Wuerth Indonesia,Malang,4500000
Legal Manager,PT Empat Mitra Indika Tenaga Surya,Jakarta Raya,12951372
Architect,CIPUTRA GROUP,Jakarta Raya,6153686
Account Manager (Hybrid Working),PT Jobstreet Indonesia,Bandung,8331000
Legal Specialist,PT Tenaga Listrik Bengkulu,Kota Bengkulu,12500000
电商运营 ( E-Commerce Operational),PT GOGOBUY ECOMMERCE INDONESIA,Jakarta Selatan,15500000
HR-GA Manager,Pengiklan Anonim,Driyorejo,12825268
Travel Consultant Banjarmasin,PT. Dwidaya World Wide,Banjarmasin,5202470
Personal Assistant Director,JINISO.ID,Tangerang,8110645
KOL Specialist,"PT. Zyrexindo Mandiri Buana, Tbk",Jakarta Barat,5413688
Project General Manager,Pengiklan Anonim,Sumatera Selatan,6840998
Office Management Support,PT Finansindo Manatama Internasional,Denpasar Selatan,4750000
Emergency Response Team Section Head,Sinarmas Mining,Angsana,6168930
Production Manager (Nickel Mine),PT Huaan Mining Engineering,Konawe Utara,13500000
Multimedia Graphic Designer,PT Wedison Green Energy Group,Jakarta Raya,7008923
ACCOUNTING TAX,PT Shinmado,Jakarta Utara,8000000
Senior Finance & Accounting,PT. IDX CONSULTING,Jakarta Raya,6616430
Accounting Quality Control,PT. UKR,Maros,4250000
Route To Market Manager,COMBIPHAR Group,Jakarta Selatan,15570788
Business Development Specialist,PT HIJAU ADIL BAHAGIA (BURGREENS),Jakarta Raya,7674278
STAFF TENDER / IT,PERSEROAN TERBATAS - BADAN ANDHIKASURYA ERAMITRA,Krembangan,4750000
"Manager, Route to Market & Sales Digitization - SEA",Mondelez International AMEA,Jakarta Raya,14052947
Product Buyer,PT Kecantikan Alami Indonesia,Grogol Petamburan,5431865
STAFF MARKETING EXPORT,PT Peroni Karya Sentra,Ngoro,5928013
STAFF MARKETING EXPORT,PT Peroni Karya Sentra,Ngoro,5928013
Sales Marketing Beverage,PT Ace Mega Sedayu,Jakarta Barat,7000000
Creative Designer,Howel and Co Indonesia,Jakarta Barat,6250000
Administration Staff,PT Timur Raya Lestari,Jakarta Timur,5750000
Wellhead Integrity / Gate Valve PM,PT Asia Serv Indonesia,Banten,5506659
Content Creator / Social Media Specialist,Artha Inti Mentari,Tangerang,5500000
Sales Commercial Industry,PT TRADA PACIFIC MEGANTARA,Jakarta Raya,16994186
Head of Sales,PT. CIPTA ANEKA SELERA,Lampung,6954260
SENIOR MANAGER FINANCE ACCOUNTING & TAX,PT Kuopacific Nusantara,Kelapa Gading,18357344
Sales Executive Retail Modern Trade (Maternity Leave),PT Delisari Nusantara,Jakarta Utara,6107034
Project Manager,PT Taisho Pharmaceutical Indonesia Tbk.,Depok,10499749
Accounting Staff,PT Metaphor Indonesia,Jakarta Utara,6587194
Enrolment Officer,Dyatmika School,Denpasar Timur,4825788
SENIOR SOCIAL MEDIA ADMIN,Degold (Jayakarta prima makmur),Jakarta Barat,4282289
SALES AND ADMINISTRATION MANAGER,PT Toyota Tsusho Logistic Center,Bekasi,13943422
ACCOUNTING,PERSEROAN TERBATAS - BADAN ANDHIKASURYA ERAMITRA,Surabaya,4250000
