Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Product Associate (Ethical),"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,6446738
QS Analyst,CIPUTRA GROUP,Jakarta Raya,6073728
ASISTEN DIREKSI,Pengiklan Anonim,Surabaya,4750000
Travel Consultant Manado,PT. Dwidaya World Wide,Manado,5307480
QUALITY AND REGULATORY AFFAIR MANAJER,PT Shangyang Technology Indonesia,Cikupa,10875000
Supervisor Research and Development Formulator Kosmetik,PT. Derma Kosmetik Internasional,Kabupaten Bekasi,8500000
Mechanical Electrical Engineering Officer,PT Esa Sentosa Abadi Indonesia,Medan Helvetia,4500000
PRESCHOOL TEACHER,PT Kredo Cipta Juara,Jakarta Barat,5150000
Interior Designer with Graphic Design Skills,PT Sunrise Indonesia,Jakarta Raya,14000000
host live streaming,PT KARYA KREATIF INDOTAS,Tangerang,5000000
Admin Penjualan,InterScent Excelindo,Jakarta Raya,6930861
Host Live Streamer Tiktok,PT. SATYA NATURA PERSADA,Jakarta Utara,5250000
Store Supervisor_Balikpapan,PT Biru Semesta Abadi,Balikpapan,4067809
PROJECT MANAGER - KONTRAKTOR INTERIOR/DESIGN INTERIOR & BUILD,PT Satyamas Indoraya,Jakarta Raya,11018852
Kindergarten Teacher,Blue Dolphin Playskool,Surabaya,4481170
Supplier Quality Engineer,PT Excelitas Technologies Batam,Batam,8288294
National Sales Manager,PT Wook Global Technology,Jakarta Utara,6625000
National Sales Manager,PT Wook Global Technology,Jakarta Utara,8301890
Senior Admin & Finance Executive (Finance),Swee Lee Musika,Jakarta Selatan,6625000
Maintenance Planner for Infrastructure,PT Petrolindo Energi Perkasa,Denpasar,8500000
Tiktok Manager,PT Higienis Indonesia,Jakarta Pusat,10000000
Account Executive - (Background Media),CINEPOLIS INDONESIA,Tangerang,5849299
Digital Marketing Manager,PT Tumbuh Bareng Careskin,Pinang,17000000
Marketing Manager,PT Wedison Green Energy Group,Jakarta Raya,12500000
Precious Metal Refinery Position (Walk-in Interview June 2025 - Jakarta),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,11449489
ESTIMATOR PANEL MAKER,PT Intimuara Electrindo,Jakarta Barat,6378466
Quality Manager,PT Amcor Flexibles Indonesia,Tangerang,11790721
Regional Sales Manager,Pengiklan Anonim,Palembang,10166011
Technical Assistant,Wacker Chemicals (South Asia) Pte Ltd,Tangerang Selatan,6542128
Inside Sales Representative for Indonesia and Australia,Atlas Copco (Thailand) Limited,Jakarta Raya,11000000
Sales Manager (New Business Development),PT Mitra Distribusi Utama,Pagedangan,12500000
"Engineer (Installation, Maintenance, Spare Part, Production Equipment)",Pengiklan Anonim,Batam,9892219
Sales Executive (Water Treatment),PT Afaflow Indonesia (BWT Department),Jakarta Selatan,7500000
SHOP MANAGER,ANGIN DINGIN UTARA,Bali,7500000
SALES MANAGER,PT Gamma Persada Sinergi,Jakarta Raya,10901631
Creative Lead,PT. Cakra Radha Mustika,Jakarta Timur,6804195
Operations Manager - Bali Area (Ubud & Kintamani),PT. Bobobox Mitra Indonesia,Bali,11217040
Accounting Excecutive,PT. DARYA CIPTA PRATAMA,Jakarta Selatan,8500000
Legal & Compliance,PT. Pinjaman Kemakmuran Rakyat,Jakarta Selatan,6164010
HC System,CIPUTRA GROUP,Jakarta Raya,7205267
KOORDINATOR FB SERVICE HOTEL,Palmy Exclusive Hotel Berau,Berau,4970854
Team Leader Technician,PT Euroauto Trans Pratama (PORSCHE CENTRE SURABAYA),Surabaya,6600000
Head of Procurement,PT Bali Ocean Magic (Waterbom Bali),Kuta,6752105
Project Leader (Furniture ),PT Warisan Eurindo,Badung,12500000
Warranty Officer,PT Mitra Angkutan Sejati,Jakarta Utara,5769022
Speaker Webinar & Seminar,PT SUMBER KARYA BERSAUDARA,Jakarta Raya,9500000
CORPORATE LEGAL MANAGER,PT Berkah Kawasan Manyar Sejahtera,Gresik,10678508
Director of Sales and Marketing – FMCG Beauty,Artha Inti Mentari,Tangerang,6460449
Admin Accounting,CV BERLIAN RETAIL,Surabaya,3750000
HEAD MARKETING,PT Surya Motor Shelmindo,Kabupaten Tangerang,21000000
HEAD MARKETING,PT Surya Motor Shelmindo,Kabupaten Tangerang,12422681
Mechanical Engineer,PT Prakarsalanggeng Majubersama,Jakarta Selatan,8145631
Business Development,Odoo,Tangerang,5737581
Project Leader IDC (Motor vehicle industry),Atlas Copco (Thailand) Limited,Jakarta Raya,21000000
Design Graphic,Miss Fish Bali,Bali,6500000
SALES PROJECT SPV (MEP - HVAC),PT Indovisual Presentatama,Jakarta Raya,6850000
Quantity Surveyor Section Head,CIPUTRA GROUP,Jakarta Raya,6421818
Project Procurement Supervisor,VIVERE GROUP,Banten,6747564
GC SA & ETP Position (Walk-in Interview June 2025 - Jakarta),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,10658061
KOL & Affiliate Internship,Learning Time Limited,Jakarta Selatan,1750000
Sales Marketing Manager,CIPUTRA GROUP,Jakarta Raya,9772974
Insights Manager,Mondelez International AMEA,Jakarta Raya,12534235
Business Development Manager,PT Jobstreet Indonesia,Jakarta Selatan,19047913
FINANCE MANAGER,PT Amazon Colours Indonesia,Tangerang,14000000
TUKANG MASAK,PT Shangyang Technology Indonesia,Cikupa,3450000
Staff Pajak,PT SEGAR JAYA MANDIRI,Jakarta Utara,6000000
Cost Analyst Staff,PT. Zhi Xing Indonesia,Tangerang,5500000
Junior Technical Support,Bookandlink (PT Surya Jagat Mandiri),Denpasar,4750000
Account Manager- Senior Sales,PT. Mega Bintang Mas Indonesia,Medan,17633216
Finance Accounting Staff,LMJ Fishery,Jakarta Raya,5500000
Branch Manager,PT Bank SBI Indonesia,Jakarta Raya,12125827
TEKNISI PLC ELEKTRIK (TECHNICIAN ELECTRICAL ELECTRIC ENGINEER ENGINEERING),PT. JAYATEX NONWOVEN INDUSTRI,Lamongan,4500000
Operations Manager - Bunaken,PT. Bobobox Mitra Indonesia,Manado,13381031
Product Flavorist/Testing Engineer (Surabaya Placement),PT. Warlbor International Indonesia,Surabaya,7532123
"Operations Manager - Ijen, Banyuwangi",PT. Bobobox Mitra Indonesia,Banyuwangi,13556670
Business Development Sales Marketing,"PT. Wisdra International - Grandvision, KPM PT. Prudential Life Assurance",Jakarta Raya,9025000
Marketing Sales Manager,Pengiklan Anonim,Jakarta Timur,11250000
Planning & Design Manager,CIPUTRA GROUP,Jakarta Raya,10753297
CEO OFFICE SPECIALIST,PT Kideco Jaya Agung (Kideco),Paser,6968482
TEKNISI MESIN & ELEKTRONIK INDUSTRI (KAB. SEMARANG),PT. Batavia Gunung Mas,Kabupaten Semarang,2875000
"Manager Finance, Accounting, and Tax (FAT)",PT Sing Aji Sentosa,Jakarta Timur,13500000
MEP Manager,CIPUTRA GROUP,Jakarta Raya,12135578
Distribution Specialist,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,14000000
Distribution Specialist,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,11744169
Assistant Marketing Manager (Reporting),Geo Energy Group,Jakarta Utara,10353299
Engineering,Pengiklan Anonim,Jawa Timur,6015914
Finance & Accounting Manager,PT Sinergi Ayu Semesta,Bogor,14000000
Project Estimator Officer,PT. DCT TOTAL SOLUTIONS,Bekasi,5750000
Vacation Advisor,PT Indonesia MOC Services (Marriott's Bali Nusa Dua Gardens),Bali,5189100
Key Account Manager Hospital,COMBIPHAR Group,Surabaya,11162993
HSE Project Manager,PT Russindo Rekayasa Pranata,Papua Barat,10202409
Brand Lead,PT Good Sale Tech,Jakarta Raya,6140146
Marketing Staff Brand Mulsk,PT Juragan Sembilan Sembilan Corp,Kabupaten Malang,5333361
Leaf Operation Planner,PT TEMPU REJO,Jember,4752258
Pengawas Proyek,CV Modern,Surabaya,5042207
Business Development Manager,CIPUTRA GROUP,Jakarta Barat,19424166
Tehnical product bakery,PT Cipta Makmur Abadi Surabaya,Surabaya,6150000
Accounting Supervisor,VIVERE GROUP,Tangerang,7299190
E-Commerce SUPERVISOR – Kosmetik & Kemasan (B2B & Online Channel),PT Shangyang Technology Indonesia,Jakarta Utara,11000000
PAINTING SUPERVISOR,PT. Lelco Trindo Nusantara,Tangerang,7163524
TikTok Talent Internship (Digital Campaign & Business Support),PT Bussan Auto Finance (BAF),Jakarta Selatan,2702871
ACCOUNTING AND TAX MANAGER,PT Trans Ocean Consulting,Jakarta Raya,16500000
Senior Accounting,PT Karunia Beton Lestari,Medan,6712928
Arsitek,CV Renon Property - Emporio Architect,Jakarta Raya,5051077
FAT Asisten Manager,PT. CATUR GRIYA NARADIPA,Tangerang,10717617
Key Account Manager Food Service / Horeca,PT Delisari Nusantara,Jakarta Utara,13265130
Marketing & Social Media Manager / Executive Assistant,PT International Recovery Services Indonesia,Tangerang,8750000
Project Administration Staff,PT Promisco Sinergi Indonesia,Bandung,5142757
Secretary Admin,Covita Bali,Bali,5000000
Regional Marketing Manager,Pengiklan Anonim,Jakarta Raya,11000914
Car Appraiser & Pricing Officer,PT Dipo Star Finance,Jakarta Raya,6250000
Area Manager,PT Sempoa Sip Indonesia,Tangerang,8365078
DRIVER (PENGEMUDI) / SUPIR / SOPIR,Bluebird Group Pool Kramat Jati,Jakarta Timur,8000000
JUNIOR LIGHTING SPECIALIST,PT Lelco Trindo Graha Nusantara,Jakarta Barat,7500000
Process Engineer,PT Formulatrix Indonesia,Jawa Tengah,6590932
Marketing Executive,PT Saras Subur Abadi,Surabaya,11000000
Marketing Executive,PT Saras Subur Abadi,Surabaya,8921124
Teacher,Yayasan Rinjani Indah (Mandalika Intercultural School),Pujut,5210503
Research Development Manager,PT Avia Avian Tbk,Sidoarjo,10739500
Japanese Interpreter,PT NBC Indonesia,Karawang,7117528
Sales Engineer – Upstream (KKKS).,PT Arflu SE,Kecamatan Tangerang,11000000
ICT Account Executive,PT PGAS Telekomunikasi Nusantara,Jakarta Barat,6375000
Precious Metal Refinery Position (Walk-in Interview June 2025 - Bandung),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,11261390
Sales Property Consultant,PT Rexvin Putra Mandiri,Batam,5995000
Asst. Estate Manager,PT Batamindo Investment Cakrawala,Batam Kota,12200158
Translator,PT. KUDA CEPAT HUMAN RESOURCES SERVICE,Jakarta Barat,12500000
E-Commerce Manager (Shopify Specialist),PT Cut Make Trim,Bali,10000000
Operations Manager - Rinjani,PT. Bobobox Mitra Indonesia,Lombok,13556670
Video Editor (MEDAN),PT UNISKAI PETUALANGAN SELANGIT,Medan Polonia,6327025
Technical Sales Executive (Pipes & Valves),PT Afaflow Indonesia (BWT Department),Jakarta Selatan,13500000
Videographer & Multimedia Editor Intern,PT Finture Tech Indonesia,Jakarta Selatan,2150362
PPC SPECIALIST,Teman Dental,Kabupaten Tangerang,10000000
MT Restaurant Supervisor - Batam,Sari Rasa Group,Batam Kota,6875934
Preseller (Sales),PT Balina Agung Perkasa,Jakarta Raya,4800000
Supervisor Outlet,PT. NADA SUARA ABADI,Surakarta,2250000
"Sales Project - Saklar Stop Kontak, Lampu LED, Smart Home",PT. Niaga Pura Indonesia,Jakarta Barat,7500000
Accounting & Tax Supervisor,PT Wiksa Taktikal Prima,Jakarta Raya,7405771
Sales Marketing,PT Dwika Metalindo Sejahtera,Bekasi,5875000
Estate Head HTI,Pengiklan Anonim,Kutai Kartanegara,6467590
Sales Executive (Malang),PT Wook Global Technology,Malang,3500000
Technical Sales (Metal detector & Checkweigher),PT Kamindo Makmur,Jakarta Raya,10000000
Branch Manager Manado,PT. Dwidaya World Wide,Manado,9821630
Accounting & Tax Manager,PT Bogamas Maju Indonesia,Jakarta Barat,10000000
Pharma Relationship Manager,COMBIPHAR Group,Jakarta Raya,11336818
Accounting & Finance Department Head,PT Brilliant Jaya Inti,Cikarang,11500000
Sales Engineer - Indonesia,COMAP SE ASIA PTE. LTD.,Jakarta Raya,8119468
Senior Designer (Architecure),PT SPACElogic International Indonesia,Jakarta Utara,11000000
Business Development Manager,PT Jobstreet Indonesia,Medan,19388227
Urban Planner Section Head,CIPUTRA GROUP,Jakarta Raya,7500000
Urban Planner Section Head,CIPUTRA GROUP,Jakarta Raya,7242447
Lighting Electrical Engineering & Design,PT DUTA CAHAYA MANDIRI,Serpong Utara,7500000
Custom Clearance Manager,Pengiklan Anonim,Jakarta Selatan,19250000
Sales Advisor,PT Metaphor Indonesia,Jakarta Selatan,5416443
Social Media Specialist,PT Yumeida Utama,Medan,5483290
Manager SUPER TEGAS DISIPLIN untuk rental motor di BALI,PT. HANSA AGRO LESTARI,Kabupaten Semarang,7000000
Account Executive,PT INDOLIFE PENSIONTAMA,Jakarta Raya,6836370
Accounting & Tax Senior Staff,PT Enlight Manajemen Indonesia,Kabupaten Tangerang,7250000
Sales Executive for Food Processing Machine,PT Newtech Machinery Indonesia,Jakarta Utara,9000000
Sales Project,PT Toffin Indonesia,Jakarta Utara,6594265
"Corporate, Private & Community Marketing Hospital (Surabaya)",PT CIPUTRA NUSANTARA (Surabaya),Surabaya,5589757
Sales Officer Car - Jabodetabek,PT Adira Dinamika Multi Finance Tbk,Jakarta Raya,5086376
OFFSHORE-Heavy Diesel Mechanic- OEM Specialist,Ready Resources Pty Ltd,Jawa Barat,6454998
Junior Tax Consultants,MS TAXES,Tangerang Selatan,5500000
Pembantu /Asisten Rumah Tangga,PT. HANSA AGRO LESTARI,Kabupaten Bekasi,1850000
Maketing,PT EVERTECH INTERNATIONAL GROUP,Brebes,5200092
Accounting & Finance Head,PT Galaksi Mandiri Utama,Makassar,5559635
Translator & Office Administrator,EBC TECHNOLOGY MALAYSIA SDN. BHD.,Jakarta Selatan,9081348
CNC PROGRAMMER,PT Peroni Karya Sentra,Ngoro,7500000
Admin Psikologi Berbahasa Inggris untuk Rental Motor di BALI,PT. HANSA AGRO LESTARI,Klaten,3400000
Project Manager,PT Russindo Rekayasa Pranata,Papua Barat,10540321
"Staff Finance, Accounting & Tax ( FAT )",Pengiklan Anonim,Tangerang,5785837
content creator,PT. ADVANCED TECH INDONESIA,Jakarta Pusat,3500000
Quality Assurance Unit Manager (QMS),PT Excelitas Technologies Batam,Batam,13612031
Executive - Garment Quality Assurance,PT MAS ARYA INDONESIA,Kendal,5323494
Perawat Aesthetic,Radin Inten Clinic,Duren Sawit,4254925
Supervisor Accounting dan Finance,Pengiklan Anonim,Medan,6243485
Production Staff (IVD Medical Device),Standard Biosensor healthcare,Purwakarta,5556873
Mechanical Installation Supervisor (Site Coordinator),PT Euroasiatic Jaya,Tangerang Selatan,4953199
BUSINESS DEVELOPMENT EXECUTIVES,PT Ray Propertindo,Jakarta Raya,7499571
Senior Corporate Sales Executive,PT. Dwidaya World Wide,Jakarta Raya,8003541
ADMIN OPERASIONAL / ASST HEAD OF WAREHOUSE,LENO FURNITURE INDONESIA,Cengkareng,5000000
Quantity Surveyor (QS),CV Karya Dewata Konstruksi,Bali,6500000
Quantity Surveyor (QS),CV Karya Dewata Konstruksi,Bali,6500000
SALES PROJECT,Bangun Indah Graha,Malang,4536043
Sr. Art Director,PT Hexatama Sejahtera,Jakarta Utara,5794195
MANAGER ACCOUNTING,PT Niagamas Gemilang,Kalimantan Timur,9910848
Sales Engineer / Pre Sales (Wilayah Jawa / Sumatera),PT PGAS Telekomunikasi Nusantara,Jakarta Barat,10500000
Channel Sales Manager,Next TI,Jakarta Selatan,9803851
Sugar Mill Mechanical Fitter-Work in Australia,Ready Resources Pty Ltd,Lampung Tengah,5346295
Drafter,PT Akustika Swara Indonesia,Tangerang,5700000
Sales Manager,CV Lancar Sejati,Timika,11209903
Vice Principal,Sekolah Bogor Raya,Jakarta Raya,6061898
Content Creator ( Foto/ Videografer Dan Editor Video ),PERSEROAN TERBATAS - BADAN BECKHAM MEGA VICTORY,Jawa Timur,5211729
Construction Material Sales Specialist Waterproofing,PT Oriental Yuhong Indonesia,Jakarta Utara,17500000
Martial Arts Development Manager,PT I Like Gym Indonesia,Jakarta Pusat,14555286
Community Manager,Swee Lee Musika,Jakarta Selatan,12013762
Community & Product Training Specialist (Skincare),PT ST Morita Industries (MORITA GROUP),Jakarta Timur,6750000
MANAGER TELEMARKETING,PT. DANBI SOFT INDONESIA,Jakarta Selatan,12419237
Event Area Promotion,PT Cipta Karya Technology,Banyumas,4971906
Accounting Manager,PT. Mondooli Group Indonesia,Bali,10020832
Regulatory Affair,PT. UBC Medical Indonesia (Jakarta),Jakarta Raya,6265565
Presenter,Pengiklan Anonim,Jakarta Raya,9500000
KABAG UTILITY/KABAG ELECTRIC,PT. Bintang Asahi Textile Industry,Sidoharjo,5221498
Technical Site Engineer,PT THERMO TECH SOLUTIONS,Cipondoh,4750000
Sales Respresentative,PT Multi Grafika Machinery,Jakarta Barat,6000000
Legal Manager (Construction),PT Hastari Adakara Investama,Kediri,12674839
Specialist Patent Life Science (Chemistry/ Pharmacy),Am Badar & Am Badar,Jakarta Pusat,6511200
Senior Financial Analyst,PT Excelitas Technologies Batam,Batam,8092340
Sales Associate - East Java,PT. Bobobox Mitra Indonesia,Bali,6054138
SALES EXECUTIVE (INDUSTRIAL MACHINERY),PT. Batavia Gunung Mas,Jakarta Pusat,5500000
Sales Executive - Freight Forwarding,PT SHOKA CHANDRA ARMADA,Jakarta Raya,7209727
Preschool Teacher,PT Pam Nasa Sejahtera,Malang,4894201
SUPERVISOR ACCOUNTING (lokasi : PIK),PT Nusantara Elka Sumber,Jakarta Utara,10661571
Finance and Accounting Admin,Daewoong Bio Indonesia,Bali,3978869
Maintenance Supervisor,PT MANDIRI NIAGA INDONESIA,Ungaran,4500000
Maintenance Supervisor,PT MANDIRI NIAGA INDONESIA,Ungaran,4871131
B2B Sales Manager,Pengiklan Anonim,Tangerang,8984138
Sales Executive,PT Hade Sejati Pratama,Jakarta Pusat,6659567
Group Key Account Manager,PT. EAST INDO FAIR TRADING (YAVA),Jakarta Raya,13124414
Marketing Executive / Koordinator Agent,PT Graha Mukti Indah,Surabaya,4500000
Admin Bahasa Inggris Rental Motor di BALI,PT. HANSA AGRO LESTARI,Kabupaten Kediri,3400000
Content Creator,PT Yumeida Utama,Medan,4406260
Manager Legal,PT Growth Sumatra Industry,Medan,13437789
Overseas Sales & Marketing (Automotive / Transformer etc.),PT Hyundai Corp Indonesia,Jakarta Raya,6082343
Junior Furniture Designer,PT Metaphor Indonesia,Jakarta Utara,6567169
Professional Sales Executive Area Jawa Barat,PT INDOLIFE PENSIONTAMA,Jawa Barat,4242731
Marketing Sales Executives,Pengiklan Anonim,Palembang,4150000
Sales,PT Andalan Inti Rekatama,Bogor,5123018
Manager Accounting Finance & Tax,PT BUMI PERKASA LANCAR,Semarang,13739751
Digital Marketing Manager,Visi Kreatif Digital (Yogyakarta),DI Yogyakarta,6666667
Security Manager,PT Bali Ocean Magic (Waterbom Bali),Kuta,12371680
Account Executive,Shieldtag,Cikupa,6250000
Staff TAX,PT. MAJUPERKASA INDONESIA,Banjarmasin,3748000
Staff Pajak,Pengiklan Anonim,Bali,4701673
Creative Designer Internship,PT Bussan Auto Finance (BAF),Jakarta Selatan,2198644
Medical Sales Representative,PT. INDOLAB UTAMA,Jakarta Barat,5956901
Electrical-Consumables Sales Marketing,PT Sunwa Technos Indonesia,Jakarta Pusat,5747384
Sales Area Supervisor (Unit Industrial Salt),PT. INDO SALT ENERGY,Jakarta Raya,6250000
IT Development Supervisor (handle system CARE),PT Asuransi Harta Aman Pratama Tbk,Jakarta Pusat,6900981
Business Management,PT Epsea Machinery Equipment Indonesia,Jakarta Utara,12500000
SALES REPRESENTATIVE (SOLO),PT Adhi Cakra Utama Mulia,Surakarta,3494295
Accounting,PT EVERTECH INTERNATIONAL GROUP,Brebes,5039269
Sales Food Telur Puyuh (Makanan Olahan/Snack ),PT Peksi Gunaraharja,Semarang,3500000
MARKETING FOR CONSTRUCTION & BUILDING INDUSTRY,PT Lelco Trindo Graha Nusantara,Jakarta Barat,10500000
Senior Brand Manager,Pengiklan Anonim,Jakarta Raya,23463708
Technical Manager,PT GLOBAL TOTAL SOLUSINDO,Bekasi,14681713
Section Head Research and Development,PT Cobra Dental Indonesia,Yogyakarta,4411923
RELATIONSHIP MANAGER FUNDING DEPOSITO,PT Nusantara Investment Technologi,Jakarta Raya,7500000
RELATIONSHIP MANAGER FUNDING DEPOSITO,PT Nusantara Investment Technologi,Jakarta Raya,7500000
Export Sales Specialist,PT Margacipta Wirasentosa,Cikupa,6829813
Mobile phone game Artist,PT SWEETYAM INDONESIA,Jakarta Selatan,14000000
Marketing Bunker,PT ARDISAL JASA UTAMA,Jakarta Utara,7500000
Senior HR Generalist,Geniebook Pte. Ltd.,Surabaya,5488908
Team Leader Telecomunication,PT Parama Laga Energi,Prabumulih,6185521
Junior Accounting Staff,sns.ac,Tangerang Selatan,5000000
Content Creator and Live,PT. Tratas Megah Lestari,Jakarta Barat,5315000
General Affair Assistant & Chinese Interpreter,PT Datang Dssp Power Indonesia,Jakarta Pusat,6504711
Senior Project Manager (Design & Construction),PT SPACElogic International Indonesia,Jakarta Utara,17768920
Sales for Top Hammer Drilling Rig and DTH Drilling Rig mining machinery.,PT. BORNUSA PERALATAN INDONESIA,Jakarta Utara,7955988
Territory Manager (Sales Specialist),OneSmile Aligners,Jakarta Raya,10394657
Sales Executive Furniture,PT. Bequem Kreasindo Pratama,Bogor,4723510
Key Account Executive (warehouse & transport),PT Senopati Fujitrans Logistic Services,Jakarta Utara,4598343
Site Manager,Pengiklan Anonim,Sumatera Selatan,9179221
Project Account Executive,Zimmer Indonesia,Tangerang,6000000
Kepala Quality Control Pabrik Farmasi,Pengiklan Anonim,Gresik,7115843
Head of Product Division,PT DORAN SUKSES INDONESIA (JETE INDONESIA),Surabaya,9748125
Sales Manager,Brilliant Think Center,Palembang,6000000
JURU MASAK (MENGINAP),Pengiklan Anonim,Jakarta Utara,5767235
Business Development Manager,PRO-MATRIX PTE LTD,Jakarta Raya,19282205
ADVANCED ENGLISH cum HOMEROOM TEACHER (SENIOR HIGH SCHOOL),PT Pendidikan Bintang Fajar Indonesia,Jakarta Utara,7623361
Real Estate Agent (Bali),"FazWaz (Thailand) Co., Ltd.",Bali,7205589
Technical Sales,PT Thaiunion Kharisma Lestari,Jawa Timur,5706791
IoT Backend Engineer,PT. Bobobox Mitra Indonesia,Bandung,6981588
Mechanical Design Engineer,PT Formulatrix Indonesia,Jawa Tengah,6959542
Supervisor SUPER TEGAS DISIPLIN untuk rental motor di BALI,PT. HANSA AGRO LESTARI,Kabupaten Pasuruan,5000000
SHIP CAPTAIN,PT Bahtera Sentosa Persada,Jakarta Raya,25000000
